rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number,mean_sentiment,n_posts
191,MeowTheCat,0.001385023488726556,0.0,0.058823529411764705,3,0,0.018201068219020036,3,0.6604,3
192,wenscarl,0.0013774919105099604,0.0,0.058823529411764705,3,0,0.018198055587733394,2,0.317725,4
193,ErfanMowlaei,0.0013772099430300556,0.0,0.058823529411764705,3,0,0.018197942800741433,3,0.5074,5
194,Devashish13,0.0013729720368830809,0.0,0.058823529411764705,3,0,0.018196247638282644,3,0.19693333333333332,3
197,Omitg24,0.001364058020001408,0.0,0.058823529411764705,3,0,0.018192682031529975,3,0.004399999999999997,3
198,Pagey,0.0013457673657367567,5.242079218301147e-06,0.058823529411764705,3,1,0.018186938393589605,3,0.24323333333333333,3
199,keshusharmamrt,0.0013495351754678944,0.0,0.058823529411764705,3,0,0.01818687289371657,3,-0.1618666666666667,3
202,ralphrmartin,0.0012879212142964775,0.0,0.058823529411764705,3,0,0.018162227309248002,3,-0.14737999999999998,5
203,cliu-nuro,0.0012877261510997643,0.0,0.058823529411764705,3,0,0.018162149283969316,3,0.36776666666666663,3
205,markodjordjic,0.0010932032280723647,0.00023254445865630364,0.058823529411764705,3,2,0.01815410345235525,3,0.24384444444444442,18
206,Jon573,0.001252524471808898,0.0,0.058823529411764705,3,0,0.01814806861225297,3,-0.18002857142857143,7
208,gustavoeb,0.0012250275305992781,0.0,0.058823529411764705,3,0,0.018137069835769123,3,0.4163,4
211,isaacgerg,0.0011985876451879615,0.0,0.058823529411764705,3,0,0.018126493881604595,3,0.18314285714285714,7
212,cevheck,0.0011896711161606252,0.0,0.058823529411764705,3,0,0.018122927269993663,2,0.6783,4
213,telecomadm1145,0.0011841303937711895,0.0,0.058823529411764705,3,0,0.018120710981037888,3,-0.248875,4
214,ThorvaldAagaard,0.0011801817412371092,0.0,0.058823529411764705,3,0,0.018119131520024256,3,-0.21934285714285712,7
215,lcs-crr,0.0011610397258030797,0.0,0.058823529411764705,3,0,0.018111474713850644,3,0.0004166666666666578,6
216,enricoschroeder,0.0011542122509864278,0.0,0.058823529411764705,3,0,0.018108743723923983,3,-0.030974999999999975,4
217,briango28,0.0011387865524552301,2.6210396091505736e-06,0.058823529411764705,3,1,0.01810335975639425,4,0.2100375,8
218,HGS-mbayer,0.0011325040156597863,0.0,0.058823529411764705,3,0,0.018100060429793327,3,-0.496675,4
219,haohuanw,0.0009643609047968646,0.00021641050372886566,0.058823529411764705,3,6,0.018097726336566818,6,0.3961733333333333,15
220,Ending2015a,0.0011128084833277937,0.0,0.058823529411764705,3,0,0.018092182216860528,3,0.19720000000000001,6
221,smartArancina,0.001111880443203457,0.0,0.058823529411764705,3,0,0.018091811000810795,3,0.2587,4
222,albertaillet,0.0011118728197480681,0.0,0.058823529411764705,3,0,0.01809180795142864,3,0.053633333333333345,3
224,ashep29,0.0011052257356477721,0.0,0.058823529411764705,3,0,0.01808914911778852,3,-0.17965,8
225,SeKim12,0.0010966427393987424,0.0,0.058823529411764705,3,0,0.018085715919288908,3,0.5898,4
227,jobs-git,0.0010849826927507246,0.0,0.058823529411764705,3,0,0.0180810519006297,3,-0.07862857142857142,7
228,jeisinge,0.0010765295665097763,0.0,0.058823529411764705,3,0,0.018077670650133323,3,0.147,5
230,oeddyo,0.0010691013065190268,0.0,0.058823529411764705,3,0,0.01807469934613702,3,-0.11639999999999999,5
231,tristan-deep,0.001067914459207856,0.0,0.058823529411764705,3,0,0.018074224607212554,2,0.5337666666666667,3
232,beneyal,0.0010677534150097608,0.0,0.058823529411764705,3,0,0.018074160189533315,3,0.61225,4
233,Cerno-b,0.0010624514667920428,0.0,0.058823529411764705,3,0,0.018072039410246227,3,0.420625,4
234,Ybisalt,0.001057849393767324,0.0,0.058823529411764705,3,0,0.01807019858103634,3,-0.012219999999999998,5
235,henrysky,0.00105605685572012,0.0,0.058823529411764705,3,0,0.01806948156581746,3,0.11850000000000001,5
236,Mrutyunjay01,0.0010546686933772486,0.0,0.058823529411764705,3,0,0.01806892630088031,3,-0.38748,5
237,piEsposito,0.0010506205151677545,0.0,0.058823529411764705,3,0,0.018067307029596514,3,0.47257499999999997,4
238,rluethy,0.0010479194962926819,0.0,0.058823529411764705,3,0,0.018066226622046485,3,0.4660333333333333,3
239,cjohn001,0.001046411271097395,0.0,0.058823529411764705,3,0,0.01806562333196837,3,0.9259333333333334,6
240,neo-alex,0.0010453353061114063,0.0,0.058823529411764705,3,0,0.018065192945973974,3,0.6091,5
243,Akorex,0.001033374628369259,0.0,0.058823529411764705,3,0,0.018060408674877116,3,0.08333333333333333,3
245,CaptainDario,0.001029980198996149,0.0,0.058823529411764705,3,0,0.01805905090312787,3,-0.06624285714285714,7
248,LucaSCostanzo,0.0010266689930212918,0.0,0.058823529411764705,3,0,0.018057726420737927,3,0.12166666666666666,3
250,mattiasu96,0.0010238502988159422,0.0,0.058823529411764705,3,0,0.01805659894305579,3,0.030916666666666686,6
251,elbeetheone,0.0010236011461859102,0.0,0.058823529411764705,3,0,0.018056499282003775,3,0.36166666666666664,3
253,AtticusBeachy,0.0010216088059126834,0.0,0.058823529411764705,3,0,0.018055702345894487,3,0.061166666666666654,3
255,lilianabrandao,0.0010211354379286882,0.0,0.058823529411764705,3,0,0.018055512998700885,3,0.643475,4
256,doiko,0.001020045316672089,0.0,0.058823529411764705,3,1,0.018055076950198246,4,0.37891666666666673,6
262,sibyjackgrove,0.0010072135818686525,2.6210396091505736e-06,0.058823529411764705,3,2,0.018050730568159618,4,0.23066315789473685,19
263,apage224,0.001008654923006226,0.0,0.058823529411764705,3,0,0.0180505207927319,3,0.47256,5
267,ARforyou,0.0010050488379252857,0.0,0.058823529411764705,3,0,0.018049078358699525,3,0.24525,4
269,savindi-wijenayaka,0.001004341000778717,0.0,0.058823529411764705,3,0,0.018048795223840897,3,-0.39640000000000003,4
270,GaetanLepage,0.0010021910248481053,0.0,0.058823529411764705,3,0,0.018047935233468655,3,0.20017142857142858,7
271,apiszcz,0.0010021376166081913,0.0,0.058823529411764705,3,0,0.01804791387017269,3,0.0514,4
272,KhawajaAbaid,0.0010014178168847097,0.0,0.058823529411764705,3,0,0.018047625950283294,3,0.2618444444444445,9
273,chriscarollo,0.0009996690488937887,0.0,0.058823529411764705,3,0,0.018046926443086926,3,0.5457799999999999,5
274,refraction-ray,0.0009994254766114827,0.0,0.058823529411764705,3,0,0.018046829014174006,3,0.8761666666666666,3
276,mhorlacher,0.0009985715037388815,0.0,0.058823529411764705,3,0,0.018046487425024963,3,-0.1394,6
279,yhpeng6,0.0009909957486140548,0.0,0.058823529411764705,3,0,0.018043457122975032,3,0.6577500000000001,4
280,Headshake,0.0009906940773371168,0.0,0.058823529411764705,3,0,0.018043336454464258,3,-0.11320000000000001,7
281,mortezamg63,0.0009886110141442642,0.0,0.058823529411764705,3,0,0.01804250322918712,3,0.781875,4
284,chenkimheng,0.0009860090847318367,0.0,0.058823529411764705,3,0,0.018041462457422146,3,0.2797,4
285,Vishu26,0.000984895605628153,0.0,0.058823529411764705,3,0,0.018041017065780672,3,-0.5083000000000001,3
286,Sticcolet,0.0009834332636043585,0.0,0.058823529411764705,3,0,0.018040432128971155,3,-0.31098571428571425,7
290,d-01,0.0009769293651587952,0.0,0.058823529411764705,3,0,0.01803783056959293,3,0.14506000000000002,5
291,dniku,0.0009732200476806338,0.0,0.058823529411764705,3,0,0.018036346842601664,3,-0.23106666666666667,3
292,VachanVY,0.0009651893437937475,0.0,0.058823529411764705,3,0,0.01803313456104691,3,0.05732,5
293,sachinprasadhs,0.0009552395446142556,0.019062259804223707,0.0392156862745098,2,160,0.017865479641465756,8,0.33982138728323696,346
294,Darkdragon84,0.0011067433187630633,0.003584078586044366,0.0392156862745098,2,1,0.013282626785671476,2,0.1825,5
296,yifengshao,0.002838311028290496,0.0,0.0392156862745098,2,0,0.01290003029366914,2,0.6444000000000001,3
297,fabriciorsf,0.002669858670428811,0.0,0.0392156862745098,2,1,0.012832649350524465,3,0.140675,8
298,LukeWood,0.0013791376945757365,0.0016635352618557006,0.0392156862745098,2,28,0.012815421538739945,7,0.3758125,64
299,UmerElsaharty,0.002238420060763394,0.0,0.0392156862745098,2,0,0.012660073906658298,2,0.04619999999999998,4
300,miticollo,0.0009633872544998883,0.0014470831543235143,0.0392156862745098,2,2,0.01258418573044995,4,0.4161111111111111,9
302,burnpanck,0.0010451905716571033,0.0010612298150827434,0.0392156862745098,2,2,0.012501151055540605,3,-0.11049999999999997,7
303,tqdo,0.00182907949859533,0.0,0.0392156862745098,2,0,0.012496337681791073,2,0.45542499999999997,4
307,MangledPotat0,0.0017654002608236262,0.0,0.0392156862745098,2,0,0.012470865986682391,2,-0.01906666666666666,3
308,geniusonanotherlevel,0.0017492161321869912,0.0,0.0392156862745098,2,0,0.012464392335227737,2,0.20826666666666668,3
312,swamidass,0.0016325303493143475,0.0,0.0392156862745098,2,1,0.01241771802207868,3,0.40378,5
314,coldhearti,0.001546875623493002,6.174004412665795e-05,0.0392156862745098,2,2,0.012401978144988139,4,0.08953333333333335,3
315,vulkomilev,0.0010960873292685748,0.0005584090217459197,0.0392156862745098,2,5,0.012370663520584147,5,0.16065000000000002,16
317,yesufeng,0.001476144862144252,0.0,0.0392156862745098,2,0,0.012355163827210643,2,0.6444,4
323,Ghostvv,0.001386973686684306,0.0,0.0392156862745098,2,0,0.012319495357026663,2,0.3188666666666667,3
326,xiaofengSu00,0.001363008567399611,0.0,0.0392156862745098,2,0,0.012309909309312785,2,-0.4986333333333333,3
328,Shaaniaa,0.0013561085167043876,0.0,0.0392156862745098,2,0,0.012307149289034695,2,0.18113333333333334,3
330,williamhunterwilson,0.0013499630901805091,0.0,0.0392156862745098,2,0,0.012304691118425144,2,0.50824,5
333,haimat,0.0013430866564082215,0.0,0.0392156862745098,2,0,0.01230194054491623,2,-0.0551,3
334,SamMohel,0.001341965827102061,0.0,0.0392156862745098,2,0,0.012301492213193765,2,0.03764999999999999,4
336,AshwinJay101,0.0009670792235897554,0.0004943571929481221,0.0392156862745098,2,4,0.01229984472967328,3,0.0489857142857143,7
337,daehyun99,0.0012282577541154395,8.26958798588666e-05,0.0392156862745098,2,3,0.012280817747956778,4,0.57856,10
338,gcunhase,0.0012892601098924436,0.0,0.0392156862745098,2,0,0.012280409926309918,2,0.62686,5
341,redincer,0.0012642204759486459,0.0,0.0392156862745098,2,0,0.012270394072732399,2,-0.3326666666666666,3
346,ItCodinTime,0.0012273453517151931,0.0,0.0392156862745098,2,0,0.012255644023039018,2,0.39573333333333327,3
347,Faptimus420,0.00106207602270063,0.00021507086126196654,0.0392156862745098,2,1,0.012254057549811783,3,0.04129999999999998,5
348,asmith26,0.0012229923749382163,0.0,0.0392156862745098,2,0,0.012253902832328228,2,0.5125777777777778,9
350,rstar327,0.0012083777885953761,0.0,0.0392156862745098,2,0,0.012248056997791091,2,0.360425,4
352,TaiXeflar,0.001183263564816844,6.989438957734863e-06,0.0392156862745098,2,2,0.012240108139967,3,0.34655714285714284,7
355,thanhlecongg,0.00116185220214546,0.0,0.0392156862745098,2,0,0.012229446763211124,2,-0.04638000000000002,5
356,anas-rz,0.0011592773284525926,0.0,0.0392156862745098,2,1,0.012228416813733978,2,0.01621428571428572,7
360,tomas-teijeiro,0.0011562912832222393,0.0,0.0392156862745098,2,0,0.012227222395641836,2,0.44112,5
361,cloudbopper,0.0011493328748601683,0.0,0.0392156862745098,2,0,0.012224439032297009,2,0.16178,5
362,jyyang621,0.0011406857709833457,0.0,0.0392156862745098,2,0,0.01222098019074628,2,0.5709799999999999,5
364,Nilabhra,0.0011185045190143506,0.0,0.0392156862745098,2,0,0.012212107689958682,2,0.19340000000000002,4
367,firatsarlar,0.0011168479965434326,0.0,0.0392156862745098,2,0,0.012211445080970313,2,0.1398,5
368,CAW9,0.001112387852740205,0.0,0.0392156862745098,2,0,0.012209661023449022,2,0.3793333333333333,6
370,JotaFan,0.0010986557724365856,1.456133116194763e-05,0.0392156862745098,2,1,0.01220853659067616,2,0.13141666666666665,6
371,NahuelCostaCortez,0.001102751459565459,8.591185385549103e-06,0.0392156862745098,2,1,0.01220838382179479,3,0.45172500000000004,4
372,WingsOfPanda,0.0011072877617893523,0.0,0.0392156862745098,2,0,0.012207620987068683,2,0.6291,3
373,mohammadreza490,0.0011037628768716225,0.0,0.0392156862745098,2,0,0.01220621103310159,2,0.20319999999999996,6
374,egesko,0.001103760206453182,0.0,0.0392156862745098,2,0,0.012206209964934213,2,0.13640000000000002,4
375,WeichenXu123,0.0011025253737375637,0.0,0.0392156862745098,2,0,0.012205716031847967,2,-0.18164000000000002,5
376,sunilsarolkarcds,0.0011025253737375637,0.0,0.0392156862745098,2,0,0.012205716031847967,2,0.8691,3
378,prateekgargX,0.0010964523882660599,0.0,0.0392156862745098,2,0,0.012203286837659364,2,-0.629825,4
379,Alex-Zab,0.0010883586054806673,0.0,0.0392156862745098,2,0,0.012200049324545208,2,-0.19863333333333333,6
380,adamjstewart,0.0009640001152894505,0.00016193524009464126,0.0392156862745098,2,2,0.012198886500497113,4,0.3579125,8
381,rohitcodism,0.0009886574543333667,0.00012768585455255897,0.0392156862745098,2,1,0.012198474620452055,2,-0.0006749999999999881,4
383,OmriSteiner,0.001081204993210843,0.0,0.0392156862745098,2,0,0.012197187879637278,2,0.03263333333333335,6
384,Tropaion,0.0010809742814076935,0.0,0.0392156862745098,2,0,0.012197095594916019,2,-0.13394999999999999,8
385,tristandb8,0.0010796410112432374,0.0,0.0392156862745098,2,0,0.012196562286850236,2,0.011866666666666664,3
386,matpalm,0.0009964394313811294,0.0001051328109892619,0.0392156862745098,2,1,0.012194821498202172,3,0.1625375,8
387,heydaari,0.0010715071587576528,3.4947194788674315e-06,0.0392156862745098,2,2,0.012194357161699662,3,0.40473750000000003,8
389,baominghelly,0.0010675156331325208,0.0,0.0392156862745098,2,0,0.012191712135605949,2,0.49495,4
392,BruceJL,0.0010617744028654447,0.0,0.0392156862745098,2,0,0.012189415643499119,2,-0.5127666666666667,3
393,malcolmlett,0.0010581145337187814,0.0,0.0392156862745098,2,0,0.012187951695840454,2,-0.10195000000000001,4
394,fhchl,0.0010287850118771973,3.582087465839116e-05,0.0392156862745098,2,2,0.012186966149501337,3,-0.5584333333333333,3
395,keisen,0.0010554098121972806,0.0,0.0392156862745098,2,0,0.012186869807231854,2,0.7020500000000001,4
397,jacob-talroo,0.001051682648146895,0.0,0.0392156862745098,2,0,0.012185378941611699,2,0.3262714285714286,7
400,jm-willy,0.0010499942969685065,0.0,0.0392156862745098,2,0,0.012184703601140344,2,-0.2828333333333333,3
401,takumiohym,0.0010421170366980848,9.901705190124388e-06,0.0392156862745098,2,1,0.012184523208589213,3,0.31237499999999996,4
402,bermeitinger-b,0.0010489855500807833,0.0,0.0392156862745098,2,0,0.012184300102385255,2,0.16636666666666666,3
403,pyhopp,0.0010489855500807833,0.0,0.0392156862745098,2,0,0.012184300102385255,2,0.5121666666666667,3
404,proneetsharma,0.0010489855500807833,0.0,0.0392156862745098,2,0,0.012184300102385255,2,-0.07886666666666665,3
405,AjaniStewart,0.0010489855500807833,0.0,0.0392156862745098,2,0,0.012184300102385255,2,-0.013566666666666652,3
406,Giszy,0.001048759464252888,0.0,0.0392156862745098,2,0,0.012184209668054096,2,0.0638,3
407,NuraliMedeu,0.001048759464252888,0.0,0.0392156862745098,2,0,0.012184209668054096,2,0.02523333333333333,3
408,yelandgit,0.0010485962925699777,0.0,0.0392156862745098,2,0,0.012184144399380932,2,0.29124,5
409,wellsonah2019,0.001047835860434798,0.0,0.0392156862745098,2,0,0.012183840226526861,2,0.24118571428571428,7
411,pzy2000,0.0010439319319874728,0.0,0.0392156862745098,2,0,0.01218227865514793,2,-0.23709999999999998,4
412,DimiChatzipavlis,0.001043425225867042,0.0,0.0392156862745098,2,0,0.012182075972699758,2,0.2019,3
414,heebahsaleem,0.001041171972585015,0.0,0.0392156862745098,2,0,0.012181174671386947,2,-0.2839,3
415,bruehle,0.0010407747874243015,0.0,0.0392156862745098,2,0,0.012181015797322661,2,0.15976666666666664,3
417,marta-q,0.0010399970337720398,0.0,0.0392156862745098,2,0,0.012180704695861758,2,-0.21366000000000002,5
418,PhilLord0000,0.001039158954579599,0.0,0.0392156862745098,2,0,0.01218036946418478,2,0.44405,4
419,sikchi,0.001037592991354354,0.0,0.0392156862745098,2,0,0.012179743078894682,2,0.0026750000000000038,4
420,divakaivan,0.0010374120772306452,0.0,0.0392156862745098,2,0,0.012179670713245199,2,0.721,3
421,hockeyjudson,0.0010306879879946739,6.989438957734863e-06,0.0392156862745098,2,1,0.012179077909238131,3,-0.08146666666666666,6
422,markveilletteLL,0.001033994137526736,0.0,0.0392156862745098,2,0,0.012178303537363636,2,0.8276,3
423,ucasiggcas,0.0010299954110516048,0.0,0.0392156862745098,2,0,0.012176704046773583,2,0.13415,4
424,TrueWodzu,0.0010258248174320973,0.0,0.0392156862745098,2,0,0.01217503580932578,2,-0.07694,5
426,RaydelMiranda,0.0010246719918615371,0.0,0.0392156862745098,2,0,0.012174574679097556,2,0.03663333333333333,3
427,nihayahzahra,0.0010229976256003615,0.0,0.0392156862745098,2,0,0.012173904932593085,2,-0.24121666666666666,6
428,realmadridmarcelo,0.0010229217108572392,0.0,0.0392156862745098,2,0,0.012173874566695837,2,-0.1691666666666667,3
430,josephgiting,0.0009931207544780641,3.8733140890780694e-05,0.0392156862745098,2,1,0.012173574126411402,3,0.19424000000000002,5
432,aliencaocao,0.0010002306882144223,2.7957755830939452e-05,0.0392156862745098,2,1,0.012173185484387991,2,0.20245714285714286,7
444,lrwagner,0.001011064719670376,0.0,0.0392156862745098,2,0,0.012169131770221091,2,0.11763333333333335,3
445,GeorgeOrfanidis,0.0010097351969109403,0.0,0.0392156862745098,2,0,0.012168599961117316,2,0.5116166666666667,6
448,jay-thakur,0.0010050714387129889,0.0,0.0392156862745098,2,0,0.012166734457838137,2,0.14306666666666665,3
449,MarcelRobitaille,0.0010050714387129889,0.0,0.0392156862745098,2,0,0.012166734457838137,2,0.2499333333333333,3
451,agreenbe0505,0.0010039516904592723,0.0,0.0392156862745098,2,0,0.01216628655853665,2,-0.6629999999999999,3
453,antipisa,0.0010020942233631054,0.0,0.0392156862745098,2,0,0.012165543571698183,2,-0.07286666666666668,3
454,Noob225566,0.001001643902712605,0.0,0.0392156862745098,2,0,0.012165363443437983,2,-0.20335999999999999,5
